name,male,female
Teresia,0,1133
Thurma,0,67
Tincy,0,29
Treasie,0,11
Trieste,0,45
Ulah,0,83
Ursel,5,16
Varie,0,78
Vema,0,27
Veo,15,6
Verene,0,55
Veryle,6,28
Voncille,0,554
Willavene,0,17
Yoshimi,65,30
Yoshiye,0,155
Yuki,488,887
Aagot,0,5
Addah,0,5
Addiemae,0,16
Adelean,0,5
Adelena,0,265
Adrene,0,46
Agnus,0,10
Alaska,0,707
Alexsandra,0,2357
Alferetta,0,5
Alfie,639,123
Alia,0,10347
Alicemae,0,58
Alinda,0,617
Almar,5,5
Alnora,0,23
Andree,950,1933
Ane,0,283
Anella,0,307
Angelique,6,28392
Annadell,0,12
Annebelle,0,159
Annett,0,1112
Annieruth,0,10
Arabel,0,128
Areather,0,21
Arleane,0,40
Arlein,0,15
Arloene,0,17
Arpie,0,5
Arsenia,0,121
Arsie,0,25
Arthemise,0,17
Arzetta,0,35
Ascencion,546,98
Audery,0,495
Avor,0,5
Awanda,0,90
Azella,0,42
Beatha,0,5
Beatris,0,1183
Beatta,0,18
Bennette,30,61
Bennye,0,161
Berlina,0,5
Beverlee,0,2283
Billi,5,1726
Binnie,100,368
Birchie,0,26
Birdine,0,30
Brucie,0,27
Burdelle,0,5
Burdetta,0,17
Burdine,0,5
Burnelle,0,17
Burnita,0,30
Cardie,0,18
Carene,0,50
Carriebell,0,5
Casilda,0,161
Casimera,0,57
Cerena,0,526
Charlcy,0,5
Charlet,0,657
Charlyn,0,1811
Chassie,0,200
Chellie,0,171
Chlorene,0,27
Chona,0,37
Cira,0,552
Cloria,0,181
Conrada,0,25
Consetta,0,71
Cordula,0,21
Cosie,0,5
Covie,0,5
Damiana,0,654
Daria,5,8325
Darlyne,0,1409
Dessel,0,15
Dester,12,16
Devera,0,449
Dicksie,0,57
Dilys,0,20
Donita,0,5188
Doree,0,528
Dorina,0,942
Dorlene,0,546
Dorthie,0,239
Dreama,0,3062
Earmer,0,20
Edria,0,15
Edwardine,0,88
Eilleen,0,503
Elanora,0,107
Elidia,0,945
Elizibeth,0,226
Ellanore,0,213
Ellean,0,94
Elleanor,0,394
Elleen,0,295
Elmeta,0,16
Elphie,0,5
Emojean,0,90
Erleen,0,290
Erminda,0,28
Etherine,0,60
Evelen,0,60
Evella,0,152
Evilo,0,5
Falba,0,15
Faynell,0,40
Fedelina,0,46
Flodie,0,5
Flona,0,10
Florece,0,30
Ganell,0,25
Garda,0,51
Geral,224,148
Gerline,0,462
Geroldine,0,79
Geronima,0,5
Giacomina,0,5
Gisela,0,3999
Glendene,0,94
Glenis,27,400
Glorie,0,290
Glory,46,4197
Golie,0,21
Gorizia,0,5
Gula,0,15
Halina,0,901
Harmony,25,26238
Hazele,0,5
Hazeltine,0,10
Hermenia,0,159
Hiro,509,5
Ilena,0,608
Illene,0,368
Ilva,0,57
Ily,0,635
Inetta,0,370
Irmina,0,5
Jaquelin,0,3707
Jenna,257,144997
Jensie,0,15
Jerlene,0,924
Jesslyn,0,2193
Jocile,0,10
Joda,17,95
Joie,242,2495
Josey,865,2671
Katharyne,0,38
Kathline,0,221
Kazuko,0,398
Kikuko,0,26
Kiyono,0,35
Kristina,352,135647
Laoma,0,5
Larayne,0,393
Latane,0,11
Latrelle,251,570
Lauretha,0,30
Laurita,0,629
Lazetta,0,28
Lealia,0,11
Learline,0,56
Leella,0,22
Lenar,0,5
Lennora,0,11
Leokadia,0,55
Leokadya,0,10
Lesa,12,11407
Leverta,0,33
Linie,0,5
Loena,0,23
Loetta,0,429
Lometa,0,88
Lore,0,1082
Loreita,0,15
Lorelle,0,932
Lorma,0,70
Loudella,0,5
Louiese,0,16
Louiza,0,76
Lovine,0,5
Luada,0,16
Lurla,0,10
Lydian,0,175
Madaleine,0,206
Maedelle,0,26
Maleta,0,62
Marcelena,0,10
Marcelyn,0,699
Marcena,0,227
Marcene,0,1282
Margel,0,69
Marguerete,0,26
Margueritt,0,11
Margueritta,0,5
Marguriette,0,35
Marjean,0,1558
Marlea,0,737
Marleah,0,378
Marlee,166,13062
Marline,0,1524
Martell,2519,36
Marygrace,0,1785
Marymargaret,0,896
Marzie,0,45
Masuko,0,16
Matella,0,5
Matiana,0,55
Matsuye,0,18
Matsuyo,0,19
Maurietta,0,5
Maxcine,0,1083
Maybeth,0,49
Mayzelle,0,5
Mazell,0,285
Mazy,0,174
Mearle,82,26
Memphis,5785,1260
Merceda,0,35
Methyl,0,29
Michelle,3250,810539
Midred,0,18
Mourine,0,11
Mozetta,0,69
Muril,28,15
Murline,0,374
Myril,12,5
Nadya,0,2405
Naola,0,44
Narcisa,0,218
Nigel,11712,85
Noemi,69,20068
Nondus,0,5
Northa,0,16
Novice,0,107
Nyda,0,47
Nyla,0,18705
Oceana,0,912
Olida,0,5
Ollye,0,5
Omera,0,52
Oriel,163,130
Orlanda,538,253
Orlinda,0,321
Ovedia,0,11
Ovetta,0,118
Ozena,0,5
Pam,23,33124
Parma,0,33
Perlean,0,25
Pernia,0,10
Peryl,0,10
Piedad,0,252
Providenza,0,11
Quinta,41,201
Rafelita,0,44
Regine,0,1377
Rhelda,0,37
Rodessa,0,57
Romelle,154,338
Rosalea,0,597
Rosemae,0,106
Rosene,0,275
Runelle,0,38
Ruthel,0,153
Ruthia,0,122
Setsuko,0,347
Shelia,111,47737
Sherlie,0,219
Shigeno,0,13
Shizuye,0,84
Tabea,0,10
Tamar,861,5665
Tatiana,35,33601
Telma,0,263
Tempest,0,1206
Thedora,0,103
Theophane,0,5
Thomasena,0,768
Tomacita,0,17
Tomiye,0,26
Tonnie,473,684
Toots,0,5
Toula,0,187
Truda,0,114
Truly,5,707
Tsurue,0,25
Vadys,0,5
Vanella,0,10
Varnell,180,98
Varnie,0,5
Verble,57,80
Vernella,0,62
Victora,0,197
Victoriana,0,340
Virgilia,0,99
Virginnia,0,16
Vonna,0,1090
Waldean,10,33
Wana,0,195
Wanona,0,102
Wathena,0,51
Welda,0,118
Wilmuth,0,51
Winnell,0,72
Winniefred,0,54
Yone,0,5
Yukiye,0,40
Zenola,0,101
Zida,0,5
Secundino,338,0
Trevor,157005,611
Ichiro,267,0
Augusto,1513,0
Hassell,321,0
Montague,347,0
Faris,2412,20
Shermon,370,0
Waldron,198,0
Antoni,1961,5
Herndon,194,0
Isao,246,0
Julis,221,5
Kenichi,275,0
Nester,101,0
Sigismund,138,0
Tod,7700,0
Augustino,419,0
Darcy,2663,21711
Eulice,234,5
Rico,9129,45
Shirl,448,1323
Tamotsu,199,0
Broughton,65,0
Ezio,760,0
Fowler,202,0
Glenard,202,0
Hilman,146,0
Kazumi,111,27
Lynden,1341,532
Nasario,501,0
Orlen,259,0
Pershing,599,0
Sebert,149,0
Shields,88,0
Shizuo,135,0
Vencil,155,0
Winferd,390,0
Zigmont,39,0
Zygmond,10,0
Allwin,22,0
Aston,2193,151
Bion,120,0
Burle,62,0
Carrell,427,64
Conner,52845,806
Corbit,54,0
Demar,1196,0
Derrill,787,0
Desire,57,4712
Emmerson,438,1910
Eulan,92,0
Ezekial,1217,0
Grenville,30,0
Loreto,463,16
Marlen,905,5171
Marven,689,0
Melchior,48,0
Patton,1296,73
Primitivo,740,0
Talton,192,0
Thaine,166,0
Toxie,33,0
Wilman,207,0
Zander,21351,36
Abdon,359,0
Allard,245,0
Atilano,167,0
Cabell,87,0
Camillus,47,0
Casmere,62,0
Clary,177,240
Clate,40,0
Dal,588,0
Darel,2042,5
Densel,96,0
Densil,147,0
Donell,4747,591
Dorian,20448,4454
Dorrell,370,0
Earsel,145,13
El,241,38
Elman,176,0
Ermil,48,0
Excell,412,5
Filbert,452,0
Gervase,197,5
Glenden,104,0
Gurnie,108,0
Hitoshi,142,0
Hodge,68,0
Jos,81,0
Kaiser,1775,10
Lenward,352,0
Leotis,887,5
Leston,182,0
Lionell,1593,0
Livio,170,0
Lyal,145,0
Merland,107,0
Mingo,264,0
Morrie,325,0
Orvan,143,0
Oswaldo,5586,0
Purcell,454,0
Quinn,32071,31670
Remi,1975,7882
Ridley,996,644
Shigeto,53,0
Tilghman,54,0
Ulysee,503,0
Vernor,118,0
Voris,110,0
Voyd,117,0
Wesly,1360,0
Willet,94,6
Williom,175,0
Aage,7,0
Abelino,846,0
Aldus,50,0
Altus,82,0
Ancle,38,0
Ansil,25,0
Apolinar,1277,5
Arend,138,0
Arlos,37,0
Avard,20,0
Battista,42,0
Bazel,17,0
Bertrum,246,0
Bristol,493,6900
Bronis,17,0
Carnie,90,22
Chilton,201,0
Cirilo,1083,0
Claton,17,0
Cleston,208,0
Coyle,116,0
Cranford,158,0
Crispin,1709,5
Donavon,5213,0
Downing,13,0
Duval,527,0
Earlin,83,0
Emelio,433,0
Erroll,823,0
Etheridge,105,0
Eugen,226,0
Freman,81,0
Frutoso,112,0
Gavino,1622,0
Gershon,756,0
Greg,77574,143
Haney,30,0
Herny,177,0
Hoyte,262,0
Jarold,652,0
Jr,1560,0
Kenna,206,10714
Laurens,154,0
Leeland,2463,11
Lenvil,63,0
Leodis,458,0
Levester,838,6
Lilbern,45,0
Markus,13798,0
Marlan,1201,14
Marlo,3061,6511
Marx,307,6
Merion,156,119
Miron,323,0
Moris,257,0
Okley,129,0
Olindo,26,0
Ores,12,0
Orlyn,282,0
Orvell,135,0
Orwin,49,0
Osmo,13,0
Penn,790,10
Ponciano,264,0
Prospero,71,0
Prudencio,401,0
Rayman,160,0
Renald,518,0
Renzo,1761,0
Rhodes,701,31
Robbert,580,0
Roque,2417,0
Terrel,2917,81
Tetsuo,268,0
Thayne,1354,0
Uel,75,0
Veston,31,0
Wataru,137,0
Weikko,33,0
Willys,103,0
Younger,7,0
Alfio,203,0
Alick,65,0
Amory,479,475
Andie,206,3634
Arvine,99,0
Augie,597,5
Avelino,992,0
Bacil,11,0
Baird,436,0
Baltazar,2500,0
Barto,33,0
Beacher,76,0
Benford,366,0
Benn,382,0
Bently,2156,76
Berley,131,0
Berney,52,0
Bertran,132,0
Burman,120,0
Calton,299,0
Carel,145,60
Caspar,292,0
Clabon,27,0
Clearnce,482,0
Clee,103,0
Clent,199,0
Cletes,16,0
Cleto,180,0
Corney,65,0
Courtenay,250,1188
Crowell,12,0
Culver,135,0
Daley,126,411
Day,130,147
Delio,98,0
Dellas,95,0
Derward,110,0
Dominico,374,0
Domonick,1101,0
Dwane,3171,0
Earney,49,0
Edgel,121,0
Efren,7691,0
Egan,1002,49
Eitel,19,0
Elof,6,0
Emmitte,67,0
Enio,84,0
Enzo,12237,5
Ermin,157,0
Eslie,60,43
Esten,190,0
Everardo,4462,0
Everrett,241,0
Exum,11,0
Fausto,2707,0
Forrester,98,0
Fortune,145,239
Fredrich,424,0
Fremon,78,0
Gailen,250,6
Garlen,133,0
Gather,16,0
Gaylen,2025,348
Gurdon,54,0
Gwyn,298,2045
Halfred,6,0
Harace,151,0
Harbin,12,0
Harlis,216,0
Harrey,24,0
Haydn,1682,364
Heinz,642,0
Horrace,73,0
Howland,17,0
Humberto,16263,10
Hurchel,55,0
Hurshell,131,0
Hurst,16,0
Hyram,53,0
Irey,6,0
Isaias,13979,0
Jerl,178,0
Jerrel,2429,26
Jessy,4516,1879
Joey,51870,6535
Kasmer,24,0
Kelso,261,0
Kieth,2835,0
Ladd,1200,0
Lagrand,17,0
Lamonte,3293,0
Larney,34,0
Laron,5016,119
Lawerance,995,0
Lock,16,0
Lopez,90,0
Lorentz,23,0
Luca,28892,1087
Luie,145,0
Lunnie,16,11
Luthur,37,0
Marce,105,169
Marten,481,0
Master,377,0
Maylon,293,7
Medardo,360,0
Merald,39,0
Merten,6,0
Method,24,0
Money,26,68
Naman,434,0
Nathanael,19654,12
Neuman,51,0
Newland,22,0
Nial,107,0
Norland,16,0
Odom,37,0
Orace,14,0
Orean,16,102
Ottavio,73,0
Ove,40,0
Parish,859,289
Plumer,72,24
Port,18,0
Rabun,23,0
Randy,327668,4982
Reidar,16,0
Ridgway,6,0
Rocci,22,0
Rolan,925,0
Ronda,359,34308
Ruford,71,0
Serafin,1668,0
Shady,316,202
Shigenobu,6,0
Shinichi,89,0
Standley,382,0
Stanely,228,0
Sylvian,12,0
Tatsuo,222,0
Tracey,8631,86417
Trento,6,0
Vaden,498,6
Vastine,33,0
Vel,11,13
Veril,22,5
Wayde,2006,0
Weber,96,0
Welburn,12,0
Wenceslaus,61,0
Wester,31,0
Abert,15,0
Abran,2011,0
Adelore,5,0
Alben,204,0
Alcus,74,0
Alexandre,4749,145
Alonso,10019,0
Alvester,490,0
Anastasio,174,0
Angelos,243,0
Arbor,66,199
Argel,127,0
Armel,204,0
Arnaldo,2002,0
Arney,67,0
Arzie,53,0
Audis,16,0
Auguster,29,0
Ausby,10,0
Auzie,10,0
Battle,10,0
Beach,5,0
Beldon,93,0
Berge,22,0
Bern,86,0
Berne,48,0
Bolish,10,0
Bomer,5,0
Boswell,5,0
Brandt,5727,38
Bransford,5,0
Braulio,4595,0
Brigido,313,0
Brook,3284,10378
Bunny,149,1814
Calixto,484,0
Camden,44516,3010
Carless,150,0
Carold,139,0
Casimier,35,0
Casto,21,0
Cebert,83,0
Cesar,72529,315
Cesare,638,0
Charels,134,0
Chess,24,0
Christos,2666,0
Clairmont,21,0
Clarkson,97,0
Clellie,5,7
Climon,16,0
Cloid,37,0
Cloys,96,0
Colan,236,0
Compton,62,0
Cort,1798,0
Crandall,292,0
Cristino,326,0
Curties,61,0
Cyprian,267,0
Cyrill,36,0
Damase,5,0
Deloyd,130,0
Denman,161,0
Dennison,734,0
Deryl,1825,190
Dewit,5,0
Doak,178,0
Domer,36,0
Donaldson,122,0
Dorsel,71,0
Dowell,211,0
Drayton,1811,0
Duffy,627,16
Duglas,203,0
Dumont,21,0
Durham,257,0
Earnst,25,0
Edley,38,0
Edvin,860,0
Eldwin,70,0
Ellwyn,82,0
Elzo,36,0
Emeterio,372,0
Ernel,10,0
Ero,28,0
Errett,23,0
Escar,30,0
Eskil,14,0
Espie,17,7
Eugine,297,0
Eustacio,291,0
Ewalt,5,0
Fabio,2517,0
Ferdynand,5,0
Filiberto,2422,0
Filippo,598,0
Flavian,25,0
Flay,80,5
Flemming,35,0
Frans,155,0
Fraser,457,0
Fulvio,25,0
Fumio,129,0
Gains,23,0
Galileo,301,0
Garr,32,0
Gent,35,0
Georg,475,10
Geter,5,0
Glendale,544,81
Glendell,491,92
Hager,84,39
Haines,48,0
Halstead,5,0
Halton,140,0
Hamlin,63,0
Hancel,78,0
Hannon,52,10
Hargus,10,0
Harlee,418,5778
Hartsel,58,0
Hartsell,38,0
Hayne,36,0
Helmar,10,0
Herley,149,0
Heston,1210,0
Hollice,55,22
Hurschel,67,0
Idas,5,0
Irie,454,1809
Ivison,5,0
Ivyl,5,0
Jac,536,0
Jetson,269,0
Jomes,93,0
Jud,615,0
Kalmer,5,0
Kell,229,0
Kempton,272,0
Kendal,4465,8677
Kennett,202,0
Killian,9831,506
Lace,16,404
Laton,32,0
Lavar,2035,11
Lawless,18,0
Layman,244,0
Lemual,60,0
Lenville,164,0
Lesslie,142,492
Lewell,39,0
Lewin,180,0
Lilbert,10,0
Lilton,209,0
Limon,10,0
Lindo,57,0
Lorance,174,0
Loras,226,0
Lorren,368,404
Lorry,221,1024
Lory,267,2234
Loyall,5,0
Ludwell,5,0
Luiz,3168,0
Macdonald,154,0
Makoto,490,0
Mamoru,182,0
Mansell,15,0
Marcellous,966,0
Masayuki,194,0
Mead,118,0
Menzo,27,0
Merdith,63,62
Mert,426,0
Michiel,1038,5
Michio,90,0
Mick,2193,0
Middleton,29,0
Minot,10,0
Minter,56,0
Minus,48,0
Miro,151,0
Mitsugi,88,0
Mozart,15,0
Mulford,23,0
Murlyn,20,11
Myrlin,15,15
Nathinel,45,0
Nevel,16,11
Noral,5,0
Oba,52,0
Oder,5,0
Olice,52,7
Olva,5,0
Oram,10,0
Oras,42,0
Ordie,26,5
Orey,79,0
Orus,16,0
Osbon,30,0
Osgood,18,0
Pancho,202,0
Pendleton,37,7
Philibert,5,0
Procopio,39,0
Rabon,286,0
Ragnar,272,0
Ransome,151,0
Redell,248,73
Relis,5,0
Ren,1609,279
Revel,207,44
Rexall,24,0
Rey,7613,205
Reynard,710,0
Rusell,62,0
Saichi,5,0
Samp,5,0
Scotty,18567,246
Seamon,23,0
Sellers,27,0
Sever,5,0
Severn,126,0
Sewall,11,0
Shiro,197,0
Shuford,39,0
Shurman,22,0
Silvo,5,0
Sixto,1681,0
Slater,1605,0
Soichi,10,0
Spero,316,0
Stancel,10,0
Stelmo,35,0
Stoy,89,0
Thorald,5,0
Till,34,0
Tome,68,0
Tomio,102,0
Toshiyuki,94,0
Tullie,17,0
Ty,45040,720
Vaclav,10,0
Vail,84,257
Vandy,299,193
Venard,47,0
Vence,78,0
Verlis,15,0
Vernes,10,0
Verney,17,0
Vincel,20,0
Virginio,95,0
Wadell,316,0
Wagner,285,0
Wardie,49,13
Warne,32,0
Wavy,17,0
Welles,193,0
Wencil,10,0
Whitmore,5,0
Willim,262,0
Willoughby,211,37
Woodro,16,0
Wyllys,10,0
Yewell,11,0
Zygmont,50,0
Tatsuko,0,39
Marjoria,0,155
Dolora,0,87
Doralee,0,510
Ettamae,0,95
Marcelene,0,911
Ovelia,0,60
Wilburta,0,88
Winnefred,0,49
Adelfa,0,345
Bettyjane,0,788
Coramae,0,38
Diamantina,0,654
Edytha,0,25
Guyla,0,455
Jeanine,11,23700
Opaline,0,190
Oramae,0,21
Pauleen,0,142
Anselma,0,189
Athelene,0,110
Lorenda,0,829
Meriel,0,376
Michi,8,144
Mitsuye,0,104
Mitsuyo,0,39
Venetia,0,1275
Vonceil,0,281
Winola,0,101
Aldeen,0,61
Anetha,0,99
Arnola,0,70
Cecylia,0,121
Dalma,0,104
Delzora,0,53
Eliese,0,79
Euretha,0,101
Georgiann,0,1963
Idel,6,18
Ireene,0,97
Jennieve,0,18
Lenamae,0,45
Londa,0,1669
Lorice,0,344
Madgeline,0,74
Maren,0,8662
Marthella,0,116
Marysue,0,440
Maudella,0,60
Sachiko,0,657
Sheba,0,1155
Sumiye,0,88
Adora,0,1779
Alameda,0,31
Aldyth,0,19
Alexia,44,43779
Alna,0,46
Altamae,0,36
Anola,0,191
Calogera,0,26
Cleopha,0,84
Coralyn,0,918
Dellamae,0,67
Delna,0,44
Denelda,0,111
Eleene,0,49
Erdene,0,23
Fama,0,69
Fujie,0,91
Glatha,0,38
Idia,0,28
Inabelle,0,48
Itsuko,0,50
Ivia,0,17
Josette,0,6065
Joycelyn,0,6464
Kazuye,0,18
Laetitia,0,369
Leomia,0,115
Lile,31,61
Lorea,0,180
Lucymae,0,25
Luecile,0,35
Madia,0,199
Marbeth,0,96
Marcine,0,995
Mariko,6,1269
Merian,0,204
Mildrid,0,36
Noami,0,819
Norean,0,38
Oradell,0,56
Perfecta,0,25
Perlene,0,56
Roselene,0,209
Rowene,0,142
Savanna,15,30308
Tatsue,0,14
Valorie,0,7354
Alfrida,0,46
Alicemarie,0,29
Alvene,0,6
Annita,0,1375
Arleene,0,388
Arnella,0,166
Arzola,0,11
Athleen,0,141
Auline,0,38
Avanel,0,11
Beauton,0,38
Betti,0,849
Bettylou,0,1390
Bleeker,0,6
Boneta,0,159
Brooxie,0,35
Burna,0,122
Caretha,0,293
Cloteen,0,6
Cosma,0,28
Damaris,524,11755
Danie,545,267
Deelda,0,6
Delitha,0,60
Deloise,0,1887
Delrose,0,138
Dianna,64,55720
Dionisia,0,233
Doramae,0,34
Dorrine,0,308
Dymple,0,40
Edelle,0,35
Ellice,0,396
Elrena,0,18
Emi,0,2875
Emiko,5,1436
Emilee,8,22770
Evadene,0,72
Fennie,0,25
Fifi,0,141
Flores,19,11
Francile,0,100
Ganelle,0,21
Geneiveve,0,33
Gerlene,0,268
Gerta,0,17
Graciela,39,15554
Guynell,0,103
Harriot,0,16
Hellena,0,149
Henerietta,0,16
Herberta,0,106
Ileta,0,261
Iota,0,6
Janeva,0,324
Jeune,0,26
Jolan,220,134
Kikuye,0,95
Kristine,185,83978
Lajune,0,428
Leonita,0,29
Lil,0,126
Liliane,0,647
Lilliane,0,200
Lorayn,0,12
Luria,0,69
Lylah,0,4994
Maggielean,0,6
Malvine,0,22
Margerite,0,78
Margrie,0,33
Marguritte,0,48
Martella,0,21
Marylois,0,11
Masel,0,52
Matrona,0,6
Maudeen,0,42
Mealie,0,6
Melicent,0,55
Merilda,0,21
Midge,0,805
Milada,0,36
Milady,0,142
Milred,0,11
Mishie,0,6
Myrlene,0,332
Naydene,0,66
Neddie,32,65
Nicholina,0,35
Nilah,0,1094
Ortrude,0,6
Piney,0,36
Raechel,0,2274
Raffie,5,23
Randa,0,3641
Reathel,6,127
Reeda,0,410
Rovilla,0,11
Ruthell,0,234
Saleta,0,31
Sarena,0,2396
Seraphina,0,2060
Sirkka,0,6
Stanislava,0,16
Syliva,0,491
Tita,0,236
Trine,40,307
Truma,0,6
Tsuyuko,0,51
Umeko,0,52
Valasta,0,6
Valesta,0,6
Valrea,0,6
Velera,0,80
Verdelle,0,242
Veria,0,358
Viana,0,590
Vidella,0,16
Virtue,0,29
Vondell,204,279
Walcie,0,20
Wannie,11,39
Wilmah,0,13
Yolando,5,468
Ysobel,0,6
Zenora,0,72
Adelaine,0,405
Adis,234,12
Adolpha,0,5
Agnese,0,16
Ailine,0,87
Alaine,0,1356
Alexa,273,125843
Alfredia,0,1131
Alieda,0,5
Allah,162,16
Alli,5,3585
Amelda,0,198
Amilee,0,165
Andreita,0,10
Ardina,0,17
Arelene,0,165
Arine,0,85
Arleaner,0,5
Ather,22,17
Avalene,0,182
Awilda,0,1725
Bambina,0,16
Benetta,0,438
Berlene,0,178
Berthena,0,54
Bethena,0,48
Beva,0,156
Birder,0,18
Biruta,0,5
Bobetta,0,101
Borgny,0,5
Brita,0,1084
Britta,0,3487
Burdella,0,51
Carrine,0,156
Cathren,0,69
Cathrin,0,33
Cealie,0,5
Cedell,60,5
Chrysteen,0,5
Clairene,0,47
Cleara,0,5
Cletys,0,5
Clydene,0,432
Coda,630,81
Colena,0,61
Corabell,0,26
Coren,148,109
Corma,0,10
Cornella,0,72
Corra,0,311
Corrina,0,5702
Cristine,0,4079
Cylvia,0,5
Danica,0,15256
Danna,134,19261
Daphene,0,578
Dare,63,65
Davina,0,8198
Delanie,0,4333
Delilia,0,22
Desales,0,5
Dilia,0,230
Dolley,0,5
Dorethy,0,98
Dorothyann,0,152
Dorthula,0,63
Doye,106,20
Eduvigen,0,5
Edyce,0,5
Eldrid,23,5
Eleana,0,1375
Eleda,0,31
Elize,16,313
Ellabelle,0,46
Elmarie,0,272
Eltra,0,10
Elvada,0,15
Emly,0,20
Emy,0,1134
Eoline,0,11
Ermalee,0,106
Ermaline,0,36
Ernesteen,0,249
Estalee,0,86
Esteen,0,88
Estele,0,16
Estelline,0,22
Etheldreda,0,5
Etrulia,0,104
Eua,0,23
Eudice,0,5
Evabelle,0,20
Evaleen,0,192
Evanell,0,132
Everal,5,5
Evola,0,85
Fanna,0,5
Felicite,0,106
Flarrie,0,5
Floice,0,10
Floral,0,10
Floreda,0,15
Florestine,0,170
Forrestine,0,128
Francese,0,22
Fredrika,0,290
Freta,0,30
Gara,0,339
Gelia,0,5
Geneta,0,38
Geneveve,0,53
Georganne,0,1257
Georgenia,0,118
Gerarda,0,158
Giselda,0,26
Gretha,0,41
Gustine,0,46
Haroldine,0,235
Hatsuye,0,33
Hilde,0,296
Hinda,0,1215
Idele,0,20
Idola,0,44
Idonna,0,111
Imogine,0,61
Ineta,0,130
Innie,0,5
Iria,10,61
Isaura,0,1434
Isbell,0,15
Ismay,0,52
Jacquetta,0,1705
Janne,0,505
Jenell,0,3051
Jennifer,4837,1467207
Jeroline,0,159
Johnella,0,150
Johnye,0,132
Juletta,0,63
Jullie,0,451
Junerose,0,22
Junette,0,268
Karene,0,506
Kathalyn,0,29
Katherne,0,21
Kathrene,0,179
Kazmiera,0,5
Kazu,5,5
Ladema,0,11
Ladine,0,82
Ladye,0,99
Lamora,0,15
Laurencia,0,89
Lavana,0,114
Lavara,0,5
Lean,139,646
Leatta,0,66
Lefa,0,17
Leller,0,10
Lenabelle,0,21
Lenola,0,93
Lerline,0,68
Leticia,215,42124
Levera,0,59
Levonne,26,342
Lilianne,0,718
Lilyann,0,2704
Loice,6,52
Lolabelle,0,5
Lolly,0,313
Lonna,0,3317
Lorece,0,100
Lorelei,0,13459
Louette,0,20
Lourdes,69,14306
Lubie,17,5
Luciele,0,5
Lucrecia,0,1013
Luegene,5,10
Luevinia,0,13
Lulabell,0,36
Lusia,0,237
Maddalena,0,700
Madel,0,11
Madelle,0,24
Madlin,0,32
Manuella,0,519
Marceda,0,17
Marcedes,5,306
Marene,0,162
Margarat,0,10
Maribell,0,551
Maribeth,0,5999
Maryagnes,0,78
Maryalyce,0,66
Marylena,0,5
Marzetta,0,212
Maudene,0,73
Maydel,0,5
Maynette,0,15
Mayvis,0,122
Meleta,0,17
Meribeth,0,476
Merideth,6,1741
Mieko,5,294
Minyon,0,58
Mirth,0,5
Monetta,0,228
Moyra,0,43
Myrt,0,5
Myrtlee,0,11
Narvell,22,26
Nata,0,14
Nataline,0,114
Nellye,0,59
Nette,0,11
Nioma,0,95
Nokomis,0,55
Nolene,0,58
Norvelle,16,24
Novel,42,34
Olea,0,22
Olle,7,5
Ollene,0,5
Onah,0,10
Oppie,0,5
Ormi,0,5
Ovis,5,5
Oweda,0,44
Pensacola,0,5
Pollye,0,22
Readie,0,22
Rebbeca,0,928
Rebbie,0,90
Reetha,0,5
Ritha,0,140
Robertta,0,77
Robinette,0,776
Rodella,0,49
Roise,0,67
Rollande,0,68
Romola,0,56
Rosalene,0,466
Rosalla,0,5
Rosamay,0,5
Rosebell,0,30
Rosebelle,0,21
Roseland,0,122
Rositta,0,15
Rovenia,0,60
Roza,0,279
Rozia,0,5
Rua,0,21
Rula,0,154
Sabine,0,2785
Sabrina,348,136798
Sady,0,215
Samuella,0,212
Shadie,16,97
Sulema,0,1968
Sumi,0,177
Suoma,0,5
Suzann,0,4035
Sybol,0,101
Takako,0,148
Tamaye,0,10
Temperance,0,2863
Thada,0,11
Thedra,0,15
Themis,5,5
Thusnelda,0,10
Tomi,125,2613
Treasa,0,1671
Trudis,0,5
Tsuruyo,0,5
Ulva,0,5
Uta,0,21
Utahna,0,25
Vadah,0,5
Vadia,0,5
Vaudine,0,73
Vaudis,0,16
Veleda,0,122
Veramae,0,39
Vernada,0,10
Vernadine,0,231
Vero,5,5
Vi,125,890
Vickey,140,5807
Viginia,0,15
Vilena,0,26
Vincentina,0,80
Vinna,0,15
Violanda,0,105
Viriginia,0,167
Virlee,0,87
Wetona,0,63
Willamina,0,243
Winefred,0,105
Winnona,0,138
Wonda,0,1776
Yachiyo,0,22
Zolar,0,5
Verdun,81,8
Warnie,141,0
Cono,146,0
Duel,280,0
Tatsumi,39,0
Alek,3912,74
Banner,379,23
Coston,92,0
Delmo,105,0
Derwin,3761,0
Hartman,94,0
Hezikiah,82,0
Leandrew,997,0
Lomax,133,0
Osburn,51,0
Alvino,1435,0
Argil,62,0
Bernabe,1721,0
Bernon,68,0
Briscoe,68,0
Hafford,9,0
Ishmeal,301,0
Mirko,159,0
Philemon,850,0
Vincente,2733,0
Alphus,121,0
Baldomero,1045,0
Benie,35,0
Cordis,58,0
Damiano,424,0
Glenmore,65,0
Godfred,18,0
Goro,77,0
Hallet,38,0
Havis,46,0
Horris,84,0
Karel,527,1208
Lavoy,205,0
Linville,407,0
Llewelyn,88,5
Marston,330,0
Nazzareno,24,0
Orest,266,0
Prather,65,0
Rody,345,0
Vaino,8,0
Virgal,220,5
Virgilio,1419,0
Willem,2421,0
Ameal,17,0
Amedio,63,0
